customer_id,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Lifestyle,Price_Sensitivity,Brand_Consciousness,Technology_Affinity,Purchase_Frequency,Average_Order_Value,Total_Spending,Recency,Discount_Usage,Campaign_Response,Engagement_Score,Segmentation
CUST_00017,Male,Yes,30,Yes,Engineer,1.0,Low,3.0,Cat_3,Luxury,Medium,Medium,Medium,12.4,166.6,2066.4,14.7,41.9,0,67.2,B
CUST_00018,Female,Yes,55,Yes,Engineer,9.0,Low,3.0,Cat_3,Active,Medium,Medium,High,14.5,210.0,3045.4,10.1,25.0,1,60.7,B
CUST_00019,Male,No,51,Yes,Engineer,3.0,High,2.0,Cat_3,Active,Medium,Medium,High,9.2,182.3,1673.2,12.3,36.1,1,,B
CUST_00020,Female,No,52,Yes,Engineer,5.0,Average,4.0,Cat_6,Luxury,High,High,High,10.4,98.9,1028.6,10.1,42.6,1,74.7,B
CUST_00021,Female,Yes,28,Yes,Artist,0.0,Low,2.0,,Eco-conscious,High,Low,Low,6.5,108.2,704.3,23.8,41.0,0,54.4,C
CUST_00022,Male,Yes,38,Yes,Executive,9.0,Average,1.0,Cat_6,Casual,Low,Very High,Very High,15.8,316.6,5013.5,11.7,13.1,1,82.6,A
CUST_00023,Male,Yes,29,Yes,Artist,5.0,Low,1.0,Cat_3,Casual,High,Medium,High,8.7,125.5,1092.2,17.0,29.2,1,68.6,B
CUST_00024,Male,Yes,47,Yes,Entertainment,5.0,Average,,Cat_3,Luxury,Medium,Medium,Medium,10.1,179.8,1811.2,18.7,26.5,1,54.3,B
CUST_00025,Female,No,55,Yes,Engineer,6.0,Average,1.0,Cat_6,Casual,Medium,High,High,11.0,179.1,1964.9,15.4,29.7,0,68.8,B
CUST_00026,Female,Yes,36,No,Homemaker,2.0,Low,,Cat_1,Casual,High,Low,Low,7.9,93.1,732.6,13.4,43.5,1,57.3,C
CUST_00027,Male,No,22,Yes,Engineer,13.0,Average,2.0,Cat_6,Luxury,Low,Very High,Very High,20.0,249.1,4993.7,2.6,15.7,0,92.7,A
CUST_00028,Female,Yes,29,Yes,Engineer,6.0,Low,2.0,Cat_5,Active,Low,Medium,Medium,8.5,211.6,1798.3,17.8,30.6,0,63.3,B
CUST_00029,Female,Yes,36,No,Entertainment,3.0,Average,3.0,Cat_6,Luxury,Low,High,High,9.4,152.7,1439.0,3.6,38.3,0,61.1,B
CUST_00030,Female,Yes,39,Yes,Executive,5.0,High,1.0,Cat_6,Active,Medium,Very High,Very High,9.4,294.0,2752.5,2.3,13.9,1,97.4,A
CUST_00031,Female,Yes,32,Yes,Artist,4.0,Low,4.0,Cat_7,Casual,High,Low,Low,6.4,61.9,397.3,10.0,34.0,1,59.9,C
CUST_00032,Female,Yes,65,Yes,Executive,,High,3.0,Cat_2,Active,Low,Very High,High,17.8,364.0,6493.0,9.3,18.5,0,95.8,A
CUST_00033,Male,No,42,Yes,Executive,9.0,Average,2.0,Cat_6,Active,Low,Very High,Very High,15.0,298.9,4491.0,4.8,19.4,1,88.0,A
CUST_00034,Female,No,58,No,Lawyer,0.0,Low,1.0,Cat_5,Budget,High,Low,Low,1.4,60.7,85.4,31.8,15.0,0,24.8,D
CUST_00035,Female,Yes,61,Yes,Healthcare,1.0,Low,1.0,Cat_6,Budget,High,Very Low,Low,2.8,61.3,170.7,23.2,9.1,0,39.8,D
CUST_00036,Female,No,36,Yes,Artist,4.0,Low,4.0,Cat_7,Eco-conscious,High,Medium,Low,9.9,63.2,624.2,22.8,46.4,0,53.7,C
CUST_00037,Female,Yes,28,Yes,Engineer,8.0,High,3.0,Cat_3,,Medium,High,Medium,10.9,213.8,2325.5,15.9,34.5,1,62.3,B
CUST_00038,Male,Yes,51,Yes,Engineer,6.0,High,1.0,Cat_6,Casual,Low,High,Medium,17.2,249.1,4285.2,4.1,16.1,0,88.6,A
CUST_00039,Female,No,24,Yes,Marketing,1.0,Low,3.0,Cat_7,Budget,High,Low,High,6.3,73.7,467.2,23.0,49.9,0,40.2,C
CUST_00040,Male,No,53,No,Engineer,2.0,Average,2.0,Cat_6,Casual,High,High,Medium,11.7,213.1,2504.0,11.2,34.9,1,74.3,B
CUST_00041,Female,Yes,35,Yes,Executive,6.0,Average,1.0,Cat_4,Luxury,Low,Very High,Medium,14.4,344.9,4951.4,4.9,15.3,1,85.5,A
CUST_00042,Male,Yes,52,Yes,Entertainment,2.0,Average,3.0,Cat_6,Active,Low,Medium,High,14.7,186.0,2740.3,10.9,23.5,1,91.5,B
CUST_00043,Male,Yes,25,Yes,Artist,0.0,Average,4.0,Cat_6,Luxury,Low,Very High,Very High,15.2,268.8,4099.3,7.8,15.2,1,93.0,A
CUST_00044,Male,No,40,No,Homemaker,1.0,Low,1.0,Cat_6,,Very High,Low,Low,2.5,32.8,81.7,45.5,6.5,1,30.2,D
CUST_00045,Male,Yes,45,No,Entertainment,1.0,High,1.0,Cat_5,Active,Low,Medium,High,9.0,137.1,1233.1,8.7,17.2,1,67.2,B
CUST_00046,Female,No,20,Yes,Homemaker,0.0,Average,3.0,Cat_7,Budget,High,Low,Medium,7.4,110.7,815.2,14.2,44.4,0,66.9,C
CUST_00047,Male,No,46,No,Engineer,3.0,Low,3.0,Cat_6,Casual,High,High,Medium,12.7,248.6,3165.4,17.2,33.4,0,73.1,B
CUST_00048,Female,Yes,24,Yes,Engineer,9.0,High,5.0,Cat_6,Active,Low,High,Medium,11.3,127.1,1429.9,13.9,28.2,1,77.6,B
CUST_00049,Female,Yes,42,No,Artist,5.0,Average,,,Casual,Medium,High,Medium,12.3,156.7,1923.2,10.9,24.0,0,74.9,B
CUST_00050,Male,No,55,Yes,Engineer,3.0,Average,1.0,Cat_6,Luxury,Low,High,Very High,17.3,341.2,5902.8,6.3,15.1,0,,A
CUST_00051,Male,No,51,No,Homemaker,3.0,Low,1.0,Cat_6,Budget,Very High,Low,Very Low,5.0,17.4,86.0,32.0,10.4,1,23.6,D
CUST_00052,Male,Yes,18,Yes,Artist,1.0,Low,1.0,Cat_1,Eco-conscious,High,Low,Medium,9.4,116.7,1099.6,16.5,54.0,1,40.8,C
CUST_00053,Male,Yes,62,No,Lawyer,0.0,Low,1.0,Cat_5,Budget,Very High,Low,Very Low,3.8,52.2,199.3,31.8,6.9,0,27.8,D
CUST_00054,Female,Yes,61,No,Healthcare,1.0,Low,2.0,,Budget,High,Very Low,Very Low,1.4,55.9,79.4,51.9,7.1,0,22.9,D
CUST_00055,Male,No,30,Yes,Engineer,4.0,Average,3.0,Cat_5,Active,Medium,High,Medium,12.8,145.3,1867.5,14.4,8.3,0,95.0,B
CUST_00056,Female,No,43,No,Healthcare,1.0,Low,2.0,Cat_6,Casual,High,Low,Low,4.6,30.4,140.7,25.5,0.0,1,24.6,D
CUST_00057,Male,Yes,49,Yes,Lawyer,5.0,High,5.0,Cat_6,Luxury,Low,Very High,Very High,20.1,249.3,5021.7,8.6,20.0,0,99.0,A
CUST_00058,Female,No,42,Yes,Executive,5.0,High,1.0,Cat_2,Active,Low,High,Very High,21.7,234.4,5075.2,2.0,15.0,1,82.7,A
CUST_00059,Male,Yes,55,Yes,Doctor,8.0,High,2.0,,Luxury,Low,Very High,High,15.1,256.7,3869.7,9.5,19.1,1,89.3,A
CUST_00060,Male,Yes,41,Yes,Healthcare,6.0,Low,5.0,Cat_3,Casual,Medium,Medium,Medium,12.1,162.4,1957.4,9.1,24.2,1,61.9,B
CUST_00061,Male,Yes,51,No,Engineer,6.0,Average,2.0,Cat_5,Casual,Medium,Medium,High,11.7,199.4,2338.3,6.9,32.4,1,69.9,B
CUST_00062,Male,Yes,26,Yes,Entertainment,5.0,Average,3.0,Cat_3,Casual,Medium,High,Medium,14.7,181.8,2673.8,12.2,19.5,1,70.5,B
CUST_00063,Female,Yes,24,No,Artist,1.0,Average,2.0,Cat_7,Casual,High,Low,Medium,1.6,112.6,177.3,18.7,51.5,0,25.4,C
CUST_00064,Male,Yes,39,Yes,Artist,4.0,Average,3.0,Cat_3,Active,Medium,High,Medium,17.9,134.3,2403.5,2.9,30.3,1,89.8,B
CUST_00065,Male,Yes,34,Yes,Engineer,2.0,Average,4.0,Cat_5,,Medium,High,Medium,14.8,220.9,3274.6,15.4,28.1,1,69.6,B
CUST_00066,Female,No,38,Yes,Healthcare,5.0,High,3.0,,Active,Medium,High,High,9.1,165.5,1512.8,7.5,31.7,1,81.9,B
CUST_00067,Female,No,56,No,Lawyer,8.0,Average,2.0,Cat_6,Luxury,Low,Very High,High,16.6,302.5,5019.5,2.0,14.1,0,81.5,A
CUST_00068,Female,No,28,Yes,Healthcare,0.0,Average,5.0,Cat_6,Eco-conscious,High,Medium,Medium,8.6,87.6,750.9,6.1,56.5,0,47.3,C
CUST_00069,Male,Yes,56,Yes,Doctor,6.0,Average,1.0,Cat_6,Luxury,Low,High,High,16.3,307.4,5019.0,2.3,16.0,0,88.8,A
CUST_00070,Male,Yes,76,No,Healthcare,5.0,Low,3.0,Cat_5,Budget,High,Low,Very Low,6.7,66.3,443.2,30.7,14.7,0,14.7,D
CUST_00071,Male,Yes,35,No,Artist,0.0,Average,4.0,Cat_6,Eco-conscious,Very High,Medium,Low,6.3,90.0,568.8,18.5,51.6,0,54.4,C
CUST_00072,Male,Yes,50,Yes,Engineer,4.0,High,2.0,Cat_2,Luxury,Low,High,High,12.0,246.9,2964.8,2.1,13.4,1,80.5,A
CUST_00073,Male,No,44,Yes,Lawyer,6.0,Average,,Cat_4,Active,Medium,Very High,Very High,16.9,301.6,5109.1,8.0,11.5,0,82.7,A
CUST_00074,Male,Yes,26,No,Healthcare,4.0,Average,3.0,Cat_1,Eco-conscious,High,Low,Medium,7.3,84.2,617.7,7.5,49.1,0,42.0,C
CUST_00075,Male,Yes,30,No,Artist,0.0,Average,2.0,Cat_6,Budget,Very High,Low,Medium,10.9,91.2,993.1,10.4,44.3,0,40.1,C
CUST_00076,Female,Yes,39,Yes,Artist,0.0,Average,4.0,Cat_7,Casual,High,Low,High,6.8,90.1,614.2,14.3,40.8,1,22.5,C
CUST_00077,Male,No,18,Yes,Marketing,1.0,Low,3.0,Cat_6,,High,Low,Low,7.0,108.2,760.9,15.0,38.8,1,,C
CUST_00078,Female,No,56,Yes,Executive,5.0,High,2.0,Cat_6,Luxury,Low,High,Very High,14.9,261.7,3893.9,1.0,21.6,1,89.4,A
CUST_00079,Female,Yes,54,Yes,Engineer,5.0,High,5.0,Cat_6,Luxury,Low,High,High,12.3,191.3,2352.1,15.1,35.3,1,71.9,B
CUST_00080,Male,No,51,No,Executive,8.0,Average,1.0,Cat_6,,Low,Very High,Very High,14.8,307.5,4544.4,1.9,5.1,0,82.0,A
CUST_00081,Female,Yes,68,No,Healthcare,0.0,Low,1.0,Cat_6,Budget,Very High,Low,Low,4.3,78.2,336.5,65.1,4.8,1,35.7,D
CUST_00082,Male,No,33,Yes,Homemaker,0.0,Low,5.0,Cat_1,Budget,Very High,Low,Low,9.1,97.0,884.2,7.7,41.8,1,68.7,C
CUST_00083,Male,No,38,Yes,Healthcare,5.0,Average,4.0,Cat_5,Luxury,Medium,High,High,8.5,138.4,1170.4,8.6,26.0,0,84.3,B
CUST_00084,Male,Yes,46,Yes,Artist,11.0,High,2.0,Cat_2,Luxury,Low,High,Very High,12.7,287.9,3646.1,3.8,14.6,0,97.1,A
CUST_00085,Female,Yes,42,Yes,Engineer,0.0,Average,4.0,Cat_3,Luxury,Medium,High,High,10.7,147.1,1571.6,9.3,25.4,1,79.7,B
CUST_00086,Female,Yes,35,Yes,Entertainment,0.0,Average,2.0,Cat_3,,Low,Medium,Medium,5.0,179.3,902.9,13.9,37.6,1,74.0,B
CUST_00087,Male,Yes,18,No,Artist,1.0,Low,3.0,,Casual,High,Low,Low,7.9,75.2,593.6,27.5,36.8,0,38.5,C
CUST_00088,Male,Yes,28,Yes,Artist,4.0,Average,4.0,Cat_1,Budget,Very High,Medium,Medium,9.4,74.5,702.5,21.2,53.9,0,39.1,C
CUST_00089,Female,No,63,Yes,Healthcare,1.0,Low,1.0,Cat_5,Casual,High,Low,Low,3.8,31.0,116.9,7.9,7.8,0,29.8,D
CUST_00090,Female,No,47,Yes,Healthcare,0.0,High,1.0,Cat_6,Active,Low,Medium,High,12.1,172.3,2079.8,9.6,34.8,1,67.9,B
CUST_00091,Male,Yes,39,Yes,Executive,9.0,High,3.0,Cat_2,Luxury,Low,Very High,High,16.3,321.7,5252.7,6.0,14.1,1,93.2,A
CUST_00092,Female,No,18,Yes,Artist,1.0,Low,4.0,Cat_7,Budget,High,Medium,Medium,6.5,71.0,458.4,12.3,44.3,0,38.5,C
CUST_00093,Female,Yes,31,No,Artist,0.0,Low,5.0,Cat_1,Casual,High,Low,Medium,10.0,84.3,844.1,22.0,57.8,0,43.0,C
CUST_00094,Male,No,41,Yes,Artist,6.0,High,2.0,Cat_5,Active,Low,High,High,9.8,186.7,1829.4,4.0,36.9,0,82.4,B
CUST_00095,Female,Yes,29,Yes,Artist,2.0,Average,5.0,Cat_1,Casual,Very High,Low,Medium,5.1,41.1,211.4,27.6,54.3,0,58.4,C
CUST_00096,Male,Yes,44,No,Entertainment,4.0,Average,1.0,Cat_6,Active,High,High,High,4.1,228.0,937.2,15.9,26.1,0,78.7,B
CUST_00097,Male,Yes,42,Yes,Artist,,Average,2.0,Cat_5,Active,Medium,High,Medium,9.0,158.7,1430.5,12.1,37.7,1,64.5,B
CUST_00098,Female,No,42,Yes,Engineer,7.0,Low,1.0,Cat_3,Active,Low,High,High,10.2,147.1,1502.3,15.4,40.7,0,48.9,B
CUST_00099,Female,Yes,37,No,Doctor,8.0,Average,3.0,Cat_6,Casual,Low,Very High,Very High,16.4,251.9,4127.3,8.1,15.2,1,93.5,A
CUST_00100,Female,Yes,43,Yes,Executive,7.0,High,1.0,Cat_6,Luxury,Low,Very High,High,10.2,317.8,3253.3,11.3,10.8,0,97.7,A
CUST_00101,Male,Yes,61,Yes,Executive,11.0,High,2.0,Cat_6,Luxury,Low,High,Very High,18.1,298.4,5403.2,5.5,15.6,1,91.7,A
CUST_00102,Male,Yes,32,Yes,Homemaker,1.0,Average,2.0,,Eco-conscious,Very High,Low,Low,7.0,102.1,711.6,18.9,48.9,0,39.4,C
CUST_00103,Male,Yes,36,Yes,Healthcare,3.0,Average,5.0,Cat_6,Active,Low,Medium,Medium,9.9,136.6,1355.9,14.0,22.4,0,80.6,B
CUST_00104,Female,No,35,Yes,Entertainment,0.0,Average,4.0,Cat_3,Active,Medium,High,Medium,9.6,227.0,2187.1,7.6,36.0,1,82.1,B
CUST_00105,Female,No,39,No,Artist,0.0,Low,1.0,Cat_4,Casual,Very High,Low,Low,3.6,46.2,164.7,16.8,16.2,0,35.9,D
CUST_00106,Female,Yes,48,Yes,Engineer,0.0,High,1.0,Cat_4,Luxury,Low,High,Medium,16.6,273.3,4527.0,7.5,15.3,1,79.0,A
CUST_00107,Female,Yes,32,Yes,Entertainment,0.0,Average,2.0,Cat_3,Active,Low,High,Medium,9.1,151.0,1371.0,9.5,27.2,1,78.1,B
CUST_00108,Male,Yes,18,Yes,Homemaker,3.0,Average,2.0,Cat_7,Eco-conscious,High,Low,Medium,12.0,87.6,1048.9,15.9,46.8,0,53.7,C
CUST_00109,Female,No,52,Yes,Engineer,6.0,High,1.0,Cat_6,Active,Low,High,Very High,15.3,259.8,3979.8,3.2,4.0,1,86.2,A
CUST_00110,Female,Yes,47,No,Executive,5.0,High,3.0,Cat_6,Luxury,Low,High,Very High,21.0,419.0,8807.7,6.9,15.6,0,,A
CUST_00111,Female,Yes,37,Yes,Healthcare,1.0,Average,,Cat_3,Active,Medium,High,Medium,10.6,146.8,1558.6,15.9,28.2,1,77.2,B
CUST_00112,Male,Yes,39,No,Executive,12.0,High,4.0,Cat_6,Luxury,Low,High,Very High,16.0,216.5,3458.7,7.1,4.1,1,90.2,A
CUST_00113,Male,No,58,Yes,Healthcare,5.0,Low,5.0,Cat_6,Budget,High,Very Low,Very Low,0.5,49.9,24.9,32.7,30.6,0,25.2,D
CUST_00114,Female,No,31,Yes,Healthcare,3.0,Average,1.0,Cat_1,Budget,High,Medium,Low,7.0,69.4,486.1,19.6,39.5,1,55.1,C
CUST_00115,Female,Yes,23,Yes,Artist,2.0,Average,6.0,Cat_6,Casual,Very High,Low,Medium,9.1,82.8,755.0,18.2,49.4,1,68.3,C
CUST_00116,Male,No,56,No,Healthcare,2.0,Low,1.0,Cat_6,Budget,Very High,Very Low,Low,5.4,28.8,154.5,56.4,2.3,1,24.1,D
CUST_00117,Female,No,22,Yes,Homemaker,0.0,Low,2.0,,Budget,High,Low,Medium,11.3,109.9,1237.0,25.4,45.0,1,30.5,C
CUST_00118,Male,Yes,46,Yes,Executive,,High,1.0,Cat_6,Active,Low,High,High,17.2,315.3,5412.3,3.0,15.5,1,79.9,A
CUST_00119,Male,No,31,No,Healthcare,4.0,Low,2.0,,Budget,High,Very Low,Very Low,2.9,26.7,76.3,47.0,12.2,0,40.0,D
CUST_00120,Male,Yes,24,Yes,Artist,2.0,Average,5.0,Cat_6,Luxury,Low,Medium,High,8.7,107.2,929.8,8.3,36.2,1,74.1,B
CUST_00121,Male,No,33,No,Marketing,0.0,Low,4.0,Cat_7,Casual,High,Low,High,5.5,108.6,593.3,20.4,39.3,0,42.4,C
CUST_00122,Male,No,85,Yes,Healthcare,2.0,Low,3.0,Cat_4,Budget,High,Low,Low,6.5,77.3,506.2,34.0,17.8,0,35.4,D
CUST_00123,Male,Yes,39,Yes,Engineer,4.0,High,4.0,Cat_3,Luxury,Medium,Medium,High,9.7,136.6,1327.7,20.9,28.3,1,58.2,B
CUST_00124,Female,No,39,Yes,Doctor,7.0,Average,3.0,Cat_6,Active,Low,Very High,High,9.6,300.4,2886.2,6.8,20.1,1,97.7,A
CUST_00125,Male,Yes,69,Yes,Engineer,8.0,High,2.0,Cat_4,,Medium,Very High,Very High,18.9,235.1,4445.8,7.5,19.3,1,89.4,A
CUST_00126,Female,Yes,24,Yes,Engineer,6.0,Average,2.0,Cat_6,Active,Medium,Medium,Medium,13.5,203.5,2756.0,11.7,19.2,0,74.3,B
CUST_00127,Female,No,27,No,Homemaker,3.0,Low,1.0,Cat_7,Budget,High,Low,Low,9.9,45.7,453.7,14.5,33.3,1,46.9,C
CUST_00128,Female,No,43,No,Healthcare,0.0,Low,2.0,Cat_4,Casual,High,Low,Low,4.4,78.3,346.7,40.8,0.0,0,28.1,D
CUST_00129,Female,No,44,Yes,Engineer,9.0,Average,4.0,Cat_6,Active,Medium,Very High,Very High,25.4,282.2,7172.7,8.0,13.2,1,100.0,A
CUST_00130,Female,Yes,27,No,Engineer,1.0,Low,3.0,Cat_5,Casual,Medium,Medium,High,7.0,190.9,1331.4,17.6,24.7,1,70.6,B
CUST_00131,Female,No,48,Yes,Artist,4.0,Average,2.0,Cat_5,Active,High,High,Medium,10.9,191.1,2089.7,12.9,26.8,0,63.3,B
CUST_00132,Female,Yes,55,Yes,Engineer,7.0,High,1.0,Cat_4,Luxury,Low,Very High,Very High,17.6,240.9,4244.6,8.9,10.2,1,,A
CUST_00133,Male,Yes,57,Yes,Lawyer,4.0,Average,2.0,Cat_6,Luxury,Low,High,High,12.6,243.3,3054.5,2.6,16.5,1,83.6,A
CUST_00134,Female,Yes,27,Yes,Engineer,0.0,High,3.0,Cat_6,Active,High,High,Medium,13.9,90.1,1250.7,11.9,38.0,1,94.1,B
CUST_00135,Male,Yes,41,No,Healthcare,,Average,1.0,Cat_6,Casual,Very High,Low,Low,2.7,52.1,139.9,23.0,12.6,0,10.8,D
CUST_00136,Female,No,24,Yes,Artist,6.0,High,4.0,Cat_5,Active,Low,High,High,10.8,118.0,1270.6,10.9,44.8,0,62.6,B
CUST_00137,Male,No,24,Yes,Artist,8.0,High,4.0,Cat_6,Active,Medium,High,Medium,12.3,141.4,1737.2,16.3,7.7,1,70.5,B
CUST_00138,Male,Yes,18,No,Artist,4.0,Low,7.0,Cat_1,Casual,Very High,Low,Medium,11.9,128.2,1526.6,6.8,43.5,0,58.7,C
CUST_00139,Male,Yes,38,No,Artist,1.0,Average,3.0,Cat_6,Active,High,High,High,13.4,194.0,2602.3,10.0,30.2,1,68.4,B
CUST_00140,Male,Yes,66,No,Healthcare,0.0,Low,1.0,Cat_6,Budget,Very High,Very Low,Low,3.7,66.9,250.1,28.6,14.2,0,33.4,D
CUST_00141,Female,Yes,28,No,Healthcare,3.0,Low,1.0,Cat_4,Budget,Very High,Very Low,Low,4.8,36.9,178.8,30.0,20.5,1,36.5,D
CUST_00142,Male,No,49,Yes,Lawyer,5.0,High,3.0,Cat_6,Luxury,Medium,Very High,Very High,18.1,387.6,7008.7,4.3,14.6,0,84.4,A
CUST_00143,Female,Yes,27,No,Entertainment,4.0,High,2.0,Cat_6,Casual,Medium,High,Medium,13.0,156.5,2034.3,18.4,31.8,0,76.4,B
CUST_00144,Male,Yes,31,Yes,Engineer,3.0,Average,4.0,Cat_6,Luxury,Low,High,Medium,14.4,195.1,2801.7,8.2,43.6,1,64.1,B
CUST_00145,Female,No,58,Yes,Healthcare,2.0,Average,3.0,Cat_6,Active,Medium,Medium,High,12.5,213.7,2667.2,12.9,37.9,1,58.4,B
CUST_00146,Male,No,44,No,Executive,5.0,Average,1.0,Cat_4,Luxury,Medium,Very High,Very High,16.1,323.8,5224.9,7.8,6.7,1,79.7,A
CUST_00147,Female,No,19,No,Artist,3.0,Average,3.0,Cat_6,Casual,High,Low,Medium,7.0,103.0,725.5,24.7,43.4,0,60.2,C
CUST_00148,Female,Yes,24,Yes,Engineer,3.0,Average,4.0,Cat_5,Casual,Medium,Medium,Medium,14.8,238.5,3521.6,7.0,28.2,0,76.3,B
CUST_00149,Male,Yes,70,Yes,Artist,2.0,High,1.0,Cat_6,Active,Medium,Very High,Very High,17.9,208.4,3731.9,4.5,10.5,1,94.5,A
CUST_00150,Male,Yes,30,Yes,Engineer,4.0,Average,2.0,Cat_3,Casual,High,High,Medium,12.6,159.7,2013.7,9.9,28.3,1,77.3,B
CUST_00151,Male,Yes,34,Yes,Healthcare,4.0,Low,1.0,Cat_6,Budget,Very High,Low,Very Low,4.0,45.1,181.4,40.1,7.1,0,44.5,D
CUST_00152,Female,No,45,Yes,Doctor,3.0,High,2.0,Cat_6,Luxury,Medium,High,Very High,15.5,323.0,4993.0,2.7,10.1,0,81.7,A
CUST_00153,Male,Yes,39,Yes,Artist,5.0,High,3.0,Cat_6,Luxury,Low,Very High,Very High,15.5,226.8,3505.2,8.7,11.5,1,89.0,A
CUST_00154,Male,No,51,Yes,Engineer,1.0,Average,2.0,Cat_6,Casual,Medium,High,High,9.8,265.1,2611.0,13.7,19.5,0,61.7,B
CUST_00155,Female,No,61,No,Healthcare,0.0,Low,,Cat_4,,Very High,Low,Low,3.4,72.2,244.3,42.0,5.8,0,32.2,D
CUST_00156,Female,Yes,28,Yes,Executive,4.0,High,3.0,Cat_6,Casual,Low,High,Very High,15.7,305.6,4789.6,4.5,21.5,1,75.4,A
CUST_00157,Male,Yes,30,No,Homemaker,0.0,Low,1.0,Cat_6,Casual,Very High,Medium,Medium,4.7,107.4,503.7,19.7,44.9,1,51.5,C
CUST_00158,Female,No,25,Yes,Homemaker,2.0,Average,6.0,Cat_6,Budget,Very High,Low,Low,10.6,74.4,786.0,15.0,39.9,0,30.4,C
CUST_00159,Male,Yes,48,Yes,Executive,5.0,Average,3.0,Cat_6,Luxury,Low,Very High,Very High,17.9,275.1,4914.0,9.0,18.4,0,99.2,A
CUST_00160,Male,No,33,Yes,Healthcare,1.0,Average,4.0,Cat_6,Budget,Very High,Medium,Low,10.6,84.3,896.5,14.9,57.4,1,57.6,C
CUST_00161,Female,Yes,32,Yes,Artist,1.0,Average,3.0,Cat_6,Active,Medium,High,Medium,10.1,215.1,2162.7,11.5,21.4,1,74.7,B
CUST_00162,Male,Yes,32,Yes,Artist,5.0,Low,1.0,Cat_1,Casual,Very High,Medium,Medium,11.6,93.9,1092.6,18.0,56.7,1,31.6,C
CUST_00163,Female,Yes,33,No,Healthcare,3.0,Average,3.0,Cat_7,Budget,High,Low,Medium,9.1,37.4,341.5,19.2,51.3,1,51.5,C
CUST_00164,Male,Yes,51,Yes,Artist,5.0,Average,2.0,Cat_6,Luxury,Medium,High,High,9.1,141.5,1282.8,13.0,25.6,1,,B
CUST_00165,Female,Yes,38,Yes,Doctor,4.0,High,3.0,Cat_4,Luxury,Medium,High,Very High,22.3,255.5,5695.2,10.7,8.7,0,100.0,A
CUST_00166,Male,No,27,No,Marketing,,Low,5.0,Cat_6,Casual,High,Low,Medium,1.8,87.1,160.6,17.4,43.5,0,55.0,C
CUST_00167,Female,No,46,Yes,Artist,5.0,Average,3.0,Cat_6,Active,High,High,Medium,9.8,165.6,1627.2,13.1,24.1,1,62.7,B
